('Date', 'Date');('Other', 'tournament-name');('Player', 'p1');('Player', 'p2');('Other', 'maxOdds_1');('Other', 'maxOdds_2');('modelPred', '');confIndexModel_p1;confIndexModel_p2;confIndexModel_max;modelProba1;modelProba2;probaModel_max;valueBetModel;PL_valueBetModel;PL_favoriteBetModel;CUMSUM FAV;OddFav;;ROI;4.64%
2022-08-19 23:10:00;ATP Cincinnati 2022 (hard);Auger-Aliassime F.;Coric B.;1.61;2.75;2;0.5796;1.76;1.76;0.36;0.64;0.64;2;1.75;1.75;5.65;2.75;;;
2022-08-20 15:10:00;ATP Winston-Salem 2022 (hard);Efstathiou M.;Mochizuki S.;7.03;1.15;2;1.1248;0.966;1.1248;0.16;0.84;0.84;1;-1;0.15;5.8;1.15;;;
2022-08-20 15:10:00;ATP Winston-Salem 2022 (hard);Griekspoor T.;Pervolarakis M.;1.05;15.51;1;0.798;3.7224;3.7224;0.76;0.24;0.76;2;-1;0.05;5.85;1.05;;;
2022-08-20 15:10:00;ATP Winston-Salem 2022 (hard);Nava E.;O'Connell C.;12.71;1.07;2;2.542;0.856;2.542;0.2;0.8;0.8;1;-1;0.07;5.92;1.07;;;
2022-08-20 18:30:00;ATP Winston-Salem 2022 (hard);Montes-De La Torre I.;Kubler J.;8.74;1.12;2;0.3496;1.0752;1.0752;0.04;0.96;0.96;2;0.12;0.12;6.04;1.12;;;
2022-08-20 19:15:00;ATP Winston-Salem 2022 (hard);Young D.;Nava E.;4.96;1.22;2;1.1904;0.9272;1.1904;0.24;0.76;0.76;1;-1;0.22;6.26;1.22;;;
2022-08-20 23:45:00;ATP Cincinnati 2022 (hard);Norrie C.;Coric B.;1.76;2.35;2;0.6336;1.504;1.504;0.36;0.64;0.64;2;1.35;1.35;7.61;2.35;;;
2022-08-21 17:30:00;ATP Winston-Salem 2022 (hard);Daniel T.;Nava E.;1.34;3.54;1;1.0184;0.8496;1.0184;0.76;0.24;0.76;1;-1;-1;6.61;1.34;;;
2022-08-21 22:15:00;ATP Winston-Salem 2022 (hard);Kudla D.;Monteiro T.;1.85;2.12;1;1.184;0.7632;1.184;0.64;0.36;0.64;1;-1;-1;5.61;1.85;;;
2022-08-21 23:00:00;ATP Winston-Salem 2022 (hard);Djere L.;Goffin D.;3.74;1.35;2;1.1968;0.918;1.1968;0.32;0.68;0.68;1;2.74;-1;4.61;1.35;;;
2022-08-22 18:10:00;ATP Winston-Salem 2022 (hard);Lehecka J.;Gojowczyk P.;1.47;3.01;1;0.9408;1.0836;1.0836;0.64;0.36;0.64;2;2.01;-1;3.61;1.47;;;
2022-08-22 20:20:00;ATP Winston-Salem 2022 (hard);Fucsovics M.;Tseng C. H.;1.81;2.21;2;0.5792;1.5028;1.5028;0.32;0.68;0.68;2;1.21;1.21;4.82;2.21;;;
2022-08-22 20:45:00;ATP Winston-Salem 2022 (hard);Nava E.;Johnson S.;2.65;1.56;1;2.12;0.312;2.12;0.8;0.2;0.8;1;-1;-1;3.82;2.65;;;
2022-08-22 22:20:00;ATP Winston-Salem 2022 (hard);Ymer M.;Coria F.;1.21;5.92;1;0.8712;1.6576;1.6576;0.72;0.28;0.72;2;-1;0.21;4.03;1.21;;;
2022-08-22 23:10:00;ATP Winston-Salem 2022 (hard);Thiem D.;Wolf J.J.;1.85;2.13;1;1.184;0.7668;1.184;0.64;0.36;0.64;1;0.85;0.85;4.88;1.85;;;
2022-08-23 01:25:00;ATP Winston-Salem 2022 (hard);Basilashvili N.;Monteiro T.;2.75;1.57;2;0.99;1.0048;1.0048;0.36;0.64;0.64;2;0.57;0.57;5.45;1.57;;;
2022-08-23 15:10:00;ATP US Open 2022 (hard);Agamenone F.;Comesana F.;1.32;3.59;1;0.8976;1.1488;1.1488;0.68;0.32;0.68;2;-1;0.32;5.77;1.32;;;
2022-08-23 15:15:00;ATP US Open 2022 (hard);Svajda Z.;Vukic A.;1.48;2.75;2;0.4736;1.87;1.87;0.32;0.68;0.68;2;-1;-1;4.77;2.75;;;
2022-08-23 15:15:00;ATP US Open 2022 (hard);Piros Z.;Delbonis F.;1.62;2.5;1;1.0368;0.9;1.0368;0.64;0.36;0.64;1;-1;-1;3.77;1.62;;;
2022-08-23 15:15:00;ATP US Open 2022 (hard);Marcora R.;Olivieri G. A.;3.5;1.35;1;2.38;0.432;2.38;0.68;0.32;0.68;1;2.5;2.5;6.27;3.5;;;
2022-08-23 16:55:00;ATP US Open 2022 (hard);Muller A.;Holt B.;2.14;1.83;2;0.7704;1.1712;1.1712;0.36;0.64;0.64;2;0.83;0.83;7.1;1.83;;;
2022-08-23 17:10:00;ATP US Open 2022 (hard);Zeppieri G.;Grenier H.;3.25;1.42;2;0.78;1.0792;1.0792;0.24;0.76;0.76;2;0.42;0.42;7.52;1.42;;;
2022-08-23 17:10:00;ATP US Open 2022 (hard);Gomez E.;Krueger M.;1.55;3.04;1;1.116;0.8512;1.116;0.72;0.28;0.72;1;0.55;0.55;8.07;1.55;;;
2022-08-23 17:10:00;ATP Winston-Salem 2022 (hard);Gasquet R.;Musetti L.;2.52;1.7;2;0.9072;1.088;1.088;0.36;0.64;0.64;2;-1;-1;7.07;1.7;;;
2022-08-23 17:40:00;ATP US Open 2022 (hard);Escoffier A.;De Jong J.;2.1;1.85;2;0.588;1.332;1.332;0.28;0.72;0.72;2;0.85;0.85;7.92;1.85;;;
2022-08-23 18:10:00;ATP Winston-Salem 2022 (hard);Ivashka I.;Gojowczyk P.;1.22;5.31;1;0.976;1.062;1.062;0.8;0.2;0.8;2;-1;0.22;8.14;1.22;;;
2022-08-23 18:50:00;ATP US Open 2022 (hard);Dutra Da Silva D.;Marterer M.;6.36;1.15;1;4.3248;0.368;4.3248;0.68;0.32;0.68;1;-1;-1;7.14;6.36;;;
2022-08-23 19:05:00;ATP Winston-Salem 2022 (hard);Kubler J.;Kwon S.;1.81;2.12;2;0.5792;1.4416;1.4416;0.32;0.68;0.68;2;-1;-1;6.14;2.12;;;
2022-08-23 19:45:00;ATP Winston-Salem 2022 (hard);Ramos A.;Millman J.;2.44;1.64;2;0.488;1.312;1.312;0.2;0.8;0.8;2;-1;-1;5.14;1.64;;;
2022-08-23 21:00:00;ATP US Open 2022 (hard);Moutet C.;Serdarusic N.;1.29;4.14;2;0.4644;2.6496;2.6496;0.36;0.64;0.64;2;-1;-1;4.14;4.14;;;
2022-08-23 21:00:00;ATP US Open 2022 (hard);Brancaccio R.;Koepfer D.;4.62;1.25;1;2.9568;0.45;2.9568;0.64;0.36;0.64;1;3.62;3.62;7.76;4.62;;;
2022-08-23 21:00:00;ATP Winston-Salem 2022 (hard);Mannarino A.;Ruusuvuori E.;3.16;1.44;2;1.1376;0.9216;1.1376;0.36;0.64;0.64;1;2.16;-1;6.76;1.44;;;
2022-08-23 21:20:00;ATP US Open 2022 (hard);Forejtek J.;Bonadio R.;1.57;2.61;1;1.0048;0.9396;1.0048;0.64;0.36;0.64;1;-1;-1;5.76;1.57;;;
2022-08-23 21:45:00;ATP Winston-Salem 2022 (hard);Edmund K.;Bonzi B.;3.75;1.36;2;1.05;0.9792;1.05;0.28;0.72;0.72;1;-1;0.36;6.12;1.36;;;
2022-08-23 22:25:00;ATP US Open 2022 (hard);Travaglia S.;Geerts M.;2.36;1.67;1;1.5104;0.6012;1.5104;0.64;0.36;0.64;1;1.36;1.36;7.48;2.36;;;
2022-08-23 22:45:00;ATP US Open 2022 (hard);Kovacevic A.;Novak D.;2.2;1.79;1;1.408;0.6444;1.408;0.64;0.36;0.64;1;-1;-1;6.48;2.2;;;
2022-08-24 01:20:00;ATP Winston-Salem 2022 (hard);Munar J.;Tseng C. H.;1.57;2.74;2;0.5024;1.8632;1.8632;0.32;0.68;0.68;2;-1;-1;5.48;2.74;;;
2022-08-24 01:50:00;ATP Winston-Salem 2022 (hard);Sonego L.;Tabilo A.;1.37;3.55;1;0.8768;1.278;1.278;0.64;0.36;0.64;2;-1;0.37;5.85;1.37;;;
2022-08-24 15:05:00;ATP US Open 2022 (hard);Kolar Z.;Machac T.;6.5;1.21;2;2.08;0.8228;2.08;0.32;0.68;0.68;1;-1;0.21;6.06;1.21;;;
2022-08-24 15:05:00;ATP US Open 2022 (hard);Albot R.;Bhambri Y.;1.21;4.74;1;0.7744;1.7064;1.7064;0.64;0.36;0.64;2;3.74;-1;5.06;1.21;;;
2022-08-24 15:05:00;ATP US Open 2022 (hard);Melzer G.;Kovalik J.;2.28;1.65;1;1.4592;0.594;1.4592;0.64;0.36;0.64;1;-1;-1;4.06;2.28;;;
2022-08-24 15:10:00;ATP US Open 2022 (hard);Bergs Z.;Olivo R.;1.47;3.15;1;0.9996;1.008;1.008;0.68;0.32;0.68;2;-1;0.47;4.53;1.47;;;
2022-08-24 15:15:00;ATP US Open 2022 (hard);Mager G.;Verdasco F.;3;1.43;2;0.96;0.9724;0.9724;0.32;0.68;0.68;2;0.43;0.43;4.96;1.43;;;
2022-08-24 16:45:00;ATP US Open 2022 (hard);Maestrelli F.;Guinard M.;1.78;2.24;2;0.4984;1.6128;1.6128;0.28;0.72;0.72;2;-1;-1;3.96;2.24;;;
2022-08-24 18:35:00;ATP US Open 2022 (hard);Couacaud E.;Pucinelli de Almeida M.;1.23;4.75;1;0.7872;1.71;1.71;0.64;0.36;0.64;2;-1;0.23;4.19;1.23;;;
2022-08-24 19:05:00;ATP Winston-Salem 2022 (hard);Johnson S.;Gasquet R.;1.93;2;2;0.6948;1.28;1.28;0.36;0.64;0.64;2;1;1;5.19;2;;;
2022-08-24 19:30:00;ATP US Open 2022 (hard);Blancaneaux G.;Crawford O.;1.61;2.42;1;1.0304;0.8712;1.0304;0.64;0.36;0.64;1;0.61;0.61;5.8;1.61;;;
2022-08-24 19:40:00;ATP US Open 2022 (hard);Klahn B.;Struff J-L.;5.09;1.2;2;1.8324;0.768;1.8324;0.36;0.64;0.64;1;-1;0.2;6;1.2;;;
2022-08-24 20:50:00;ATP US Open 2022 (hard);Bagnis F.;Wu Tung-Lin;2.13;1.8;2;0.6816;1.224;1.224;0.32;0.68;0.68;2;-1;-1;5;1.8;;;
2022-08-24 20:55:00;ATP Winston-Salem 2022 (hard);Ramos A.;Mannarino A.;2.26;1.83;2;0.8136;1.1712;1.1712;0.36;0.64;0.64;2;0.83;0.83;5.83;1.83;;;
2022-08-24 21:10:00;ATP US Open 2022 (hard);Uchida K.;Sela D.;1.13;7;1;0.7684;2.24;2.24;0.68;0.32;0.68;2;-1;0.13;5.96;1.13;;;
2022-08-24 21:50:00;ATP US Open 2022 (hard);Brouwer G.;Elias G.;1.47;2.94;1;1.0584;0.8232;1.0584;0.72;0.28;0.72;1;0.47;0.47;6.43;1.47;;;
