('Date', 'Date');('Other', 'tournament-name');('Player', 'p1');('Player', 'p2');('Other', 'maxOdds_1');('Other', 'maxOdds_2');('modelPred', '');confIndexModel_p1;confIndexModel_p2;confIndexModel_max;modelProba1;modelProba2;probaModel_max;valueBetModel;PL_valueBetModel;PL_favoriteBetModel;CUMSUM FAV;OddFav;;ROI;2.68%
2022-08-16 16:40:00;ATP Cincinnati 2022 (hard);Laaksonen H.;De Minaur A.;9;1.11;2;3.06;0.7326;3.06;0.34;0.66;0.66;1;-1;0.11;0.45;1.11;;;
2022-08-16 16:45:00;ATP Cincinnati 2022 (hard);Ramos A.;Fognini F.;1.93;2.12;2;0.6562;1.3992;1.3992;0.34;0.66;0.66;2;1.12;1.12;1.57;2.12;;;
2022-08-16 18:40:00;ATP Cincinnati 2022 (hard);Fritz T.;Baez S.;1.22;5.86;1;0.6832;2.5784;2.5784;0.56;0.44;0.56;2;-1;0.22;1.79;1.22;;;
2022-08-16 18:40:00;ATP Cincinnati 2022 (hard);Kyrgios N.;Davidovich Fokina A.;1.25;4.6;1;0.775;1.748;1.748;0.62;0.38;0.62;2;-1;0.25;2.04;1.25;;;
2022-08-16 23:20:00;ATP Cincinnati 2022 (hard);Krajinovic F.;Evans D.;2.67;1.62;2;0.9612;1.0368;1.0368;0.36;0.64;0.64;2;-1;-1;1.04;1.62;;;
2022-08-17 00:10:00;ATP Cincinnati 2022 (hard);Cilic M.;Ruusuvuori E.;1.63;2.51;2;0.6194;1.5562;1.5562;0.38;0.62;0.62;2;-1;-1;0.04;2.51;;;
2022-08-17 00:40:00;ATP Cincinnati 2022 (hard);Medvedev D.;Van De Zandschulp B.;1.17;6.79;1;0.6786;2.8518;2.8518;0.58;0.42;0.58;2;-1;0.17;0.21;1.17;;;
2022-08-17 01:00:00;ATP Cincinnati 2022 (hard);Karatsev A.;Schwartzman D.;1.99;1.97;1;1.1144;0.8668;1.1144;0.56;0.44;0.56;1;-1;-1;-0.79;1.99;;;
2022-08-17 15:05:00;ATP Cincinnati 2022 (hard);Auger-Aliassime F.;De Minaur A.;1.75;2.26;2;0.77;1.2656;1.2656;0.44;0.56;0.56;2;-1;-1;-1.79;2.26;;;
2022-08-17 15:10:00;ATP Cincinnati 2022 (hard);Murray A.;Norrie C.;3.57;1.4;2;1.428;0.84;1.428;0.4;0.6;0.6;1;-1;0.4;-1.39;1.4;;;
2022-08-17 15:15:00;ATP Cincinnati 2022 (hard);Fognini F.;Rublev A.;5.38;1.21;2;1.614;0.847;1.614;0.3;0.7;0.7;1;-1;0.21;-1.18;1.21;;;
2022-08-17 16:45:00;ATP Cincinnati 2022 (hard);Isner J.;Hurkacz H.;2.8;1.51;1;1.792;0.5436;1.792;0.64;0.36;0.64;1;1.8;1.8;0.62;2.8;;;
2022-08-17 17:50:00;ATP Cincinnati 2022 (hard);Paul T.;Shapovalov D.;1.54;2.67;2;0.5852;1.6554;1.6554;0.38;0.62;0.62;2;1.67;1.67;2.29;2.67;;;
2022-08-17 18:50:00;ATP Cincinnati 2022 (hard);Ruud C.;Shelton B.;1.22;5.1;2;0.5368;2.856;2.856;0.44;0.56;0.56;2;4.1;4.1;6.39;5.1;;;
2022-08-17 19:35:00;ATP Cincinnati 2022 (hard);Fritz T.;Kyrgios N.;2.14;1.81;1;1.284;0.724;1.284;0.6;0.4;0.6;1;1.14;1.14;7.53;2.14;;;
2022-08-17 19:40:00;ATP Cincinnati 2022 (hard);Tsitsipas S.;Krajinovic F.;1.31;4.01;2;0.5502;2.3258;2.3258;0.42;0.58;0.58;2;-1;-1;6.53;4.01;;;
2022-08-18 15:10:00;ATP Cincinnati 2022 (hard);Fritz T.;Rublev A.;1.51;2.76;2;0.604;1.656;1.656;0.4;0.6;0.6;2;-1;-1;5.53;2.76;;;
2022-08-18 17:15:00;ATP Cincinnati 2022 (hard);Medvedev D.;Shapovalov D.;1.24;5.08;2;0.496;3.048;3.048;0.4;0.6;0.6;2;-1;-1;4.53;5.08;;;
2022-08-18 17:55:00;ATP Cincinnati 2022 (hard);Tsitsipas S.;Schwartzman D.;1.3;4.11;2;0.52;2.466;2.466;0.4;0.6;0.6;2;-1;-1;3.53;4.11;;;
2022-08-18 19:20:00;ATP Cincinnati 2022 (hard);Bautista-Agut R.;Coric B.;1.54;2.75;2;0.5852;1.705;1.705;0.38;0.62;0.62;2;1.75;1.75;5.28;2.75;;;
2022-08-18 20:05:00;ATP Cincinnati 2022 (hard);Korda S.;Isner J.;1.59;2.75;2;0.6042;1.705;1.705;0.38;0.62;0.62;2;1.75;1.75;7.03;2.75;;;
2022-08-19 01:10:00;ATP Cincinnati 2022 (hard);Cilic M.;Alcaraz C.;4.13;1.28;2;1.7346;0.7424;1.7346;0.42;0.58;0.58;1;-1;0.28;7.31;1.28;;;
2022-08-19 01:15:00;ATP Cincinnati 2022 (hard);Shelton B.;Norrie C.;3.37;1.49;1;2.2242;0.5066;2.2242;0.66;0.34;0.66;1;-1;-1;6.31;3.37;;;
2022-08-19 19:10:00;ATP Cincinnati 2022 (hard);Tsitsipas S.;Isner J.;1.36;3.77;2;0.4896;2.4128;2.4128;0.36;0.64;0.64;2;-1;-1;5.31;3.77;;;
